,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling
903,940142,10060799,17,69683,80338,139,871662,800010,22.80702460869552,940249.82,10043214.97
904,939761,10057038,16,69683,80338,138,871662,800010,22.667768456521642,940218.24,10043263.09
905,939370,10053342,16,69683,80338,137,871662,800010,22.563326342391232,940186.88,10043314.51
906,939002,10049668,16,69683,80338,136,871662,800010,22.58916142346009,940155.9,10043369.14
907,938648,10046178,16,69683,80338,135,871662,800010,22.76055918640695,940125.46,10043426.61
908,938290,10042562,16,69683,80338,134,871662,800010,22.761403968690146,940095.37,10043486.7
909,937919,10038976,16,69683,80338,133,871662,800010,22.764881616421743,940065.48,10043549.3
910,937552,10035427,16,69683,80338,131,871662,800010,22.764223825746434,940036.01,10043615.39
911,937191,10031914,16,69683,80338,129,871662,800010,22.698167869309827,940006.69,10043683.35
912,936858,10028607,15,69683,80338,127,871662,800010,23.067970374990082,939978.0,10043756.08
913,936506,10025146,15,69683,80338,125,871662,800010,23.34218478967864,939949.68,10043831.88
914,936149,10021668,15,69683,80338,123,871662,800010,23.552540231603242,939921.38,10043907.15
915,935807,10018278,15,69683,80338,121,871662,800010,23.55867394840599,939893.25,10043983.87
916,935470,10014944,14,69683,80356,119,871662,800183,23.417398777499866,939865.78,10044065.22
917,935133,10011626,14,69683,80338,117,871662,800009,23.39638241645823,939838.92,10044152.54
918,934766,10008010,14,69683,80338,115,871662,800009,23.29728681234367,939812.39,10044243.0
919,934399,10004428,14,69683,80338,113,871662,800009,23.219984976807424,939695.77,10043367.64
920,934032,10000879,13,69683,80338,111,871662,800009,23.200703018319853,939580.94,10042509.17
921,933678,9997364,13,69683,80338,109,871662,800009,23.147824561037186,939466.84,10041656.79
922,942335,10090752,7,70383,81143,58,880400,808011,29.698046565349703,939443.53,10041780.16
923,941821,10085638,7,70383,81109,57,880400,807673,27.963938346995164,939419.33,10041893.37
924,941427,10081844,7,70383,81042,56,880400,807003,26.502365524952253,939395.42,10042010.63
925,941048,10078041,7,70383,80960,55,880400,806185,25.38087010626539,939372.0,10042131.35
926,940648,10074138,7,70383,80945,54,880400,806029,24.53860766244136,939348.86,10042253.8
927,940249,10070202,7,70383,80928,53,880400,805866,23.89933777873698,939325.55,10042375.22
928,939855,10066346,6,70383,80912,52,880400,805706,23.453915098758618,939302.38,10042497.85
929,939490,10062763,6,70383,80914,51,880400,805726,23.17867161818661,939279.66,10042624.5
930,939109,10059047,6,70383,80900,50,880400,805583,22.95543228506853,939257.01,10042751.7
931,938745,10055328,0,70383,80886,0,880400,805442,22.745985978507278,939234.74,10042880.72
932,938375,10051684,0,70383,80854,0,880400,805141,22.726156150547126,939212.73,10043011.87
933,938001,10048101,0,70383,80824,0,880400,804844,22.54895550770427,939190.94,10043145.52
934,937656,10044698,0,70383,80795,0,880400,804549,22.745049964111537,939169.59,10043282.94
935,937298,10041131,0,70383,80797,0,880400,804569,22.808787473083655,939148.32,10043420.37
936,936937,10037642,0,70383,80782,0,880400,804438,22.66909060481274,939127.29,10043559.98
937,936591,10034204,0,70383,80736,0,880400,803976,22.50453904204493,939106.52,10043701.96
938,936241,10030791,0,70383,80691,0,880400,803519,22.378718154728926,939086.06,10043846.22
939,935897,10027510,0,70383,80671,0,880400,803327,22.534038616046693,939065.75,10043992.07
940,935555,10024056,0,70383,80639,0,880400,803008,22.60749221155146,939046.14,10044142.85
941,935208,10020674,0,70383,80607,0,880400,802692,22.538952491996927,939027.0,10044298.38
942,934868,10017375,0,70383,80576,0,880400,802380,22.40617515331142,939008.4,10044459.1
943,934532,10014104,0,70383,80545,0,880400,802070,22.306123011761606,938990.34,10044624.92
944,934218,10011030,0,70383,80545,0,880400,802076,22.23207827498031,938882.7,10043831.8
945,933859,10007479,0,70383,80530,0,880400,801927,22.299058706235233,938776.67,10043053.21
946,933494,10003964,0,70383,80516,0,880400,801780,22.367151172533568,938671.26,10042281.08
947,933144,10000483,0,70383,80501,0,880400,801634,22.36359867351782,938566.44,10041514.85
948,932775,9996935,0,70383,80486,0,880400,801490,22.335199005138364,938462.22,10040755.21
